artist_name,track_name,track_id,album_name,album_id,release_date,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
Nathaniel Bassey,You Deserve the Glory / No One,0dcmP51Q5OOA9Zi3krdcAU,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,366820,30,False,0.206,0.306,10,-10.49,1,0.0322,0.877,0.000123,0.112,0.108,85.279,3,[]
Nathaniel Bassey,Let Your Fire Fall - Live,4ENojSKMZWaRsuksnbw57k,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,936854,33,False,0.316,0.638,0,-7.146,0,0.0478,0.376,0.0,0.0815,0.181,127.884,4,['VICTORIA ORENZE']
Nathaniel Bassey,Celebrate Jesus (feat. Onos Ariyo),3Elx2jdT9Ww9ZNoHndZnDV,This God Is Too Good,5RCbwQMe3LwArxqneTQMTg,2016-10-03,222563,30,False,0.551,0.725,7,-4.069,1,0.199,0.169,0.0,0.0736,0.899,171.889,4,['Onos Ariyo']
Nathaniel Bassey,Abba Father,4Kj6tfC6ZeGwPg79c3ASzp,Revival Flames,3ouj0BXXkGizxWYTtcPK3y,2017-05-08,253179,31,False,0.636,0.48,0,-8.652,1,0.0315,0.572,1.42e-05,0.152,0.529,148.026,4,[]
Nathaniel Bassey,I Will Dance,52BBVJxsevDdwV8QkBayRC,The King Is Coming,1zi8tByoRTWt088vDbI6OG,2019-11-29,230435,30,False,0.705,0.613,1,-7.811,1,0.0379,0.451,1.28e-06,0.111,0.394,89.91,4,['Jumoke Oshoboke']
Nathaniel Bassey,Hallelujah Challenge Worship Medley,3N60U5RGbcbANKbUxOMyYn,Hallelujah Again (Revelation 19:3),5HjyQX3GmSbNBL1bG3D6Gf,2021-04-01,641810,33,False,0.246,0.677,0,-5.456,1,0.0345,0.0535,3.91e-06,0.173,0.264,135.575,3,[]
Nathaniel Bassey,There is a Sound - Live,2XOPCj93C7u79aA1C2TsX7,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,376143,32,False,0.582,0.841,0,-5.382,1,0.04,0.0131,0.00033,0.357,0.417,132.021,4,[]
Nathaniel Bassey,Deserving - Live,2n4L40qah2hFVMbmzawo82,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,715738,33,False,0.413,0.622,5,-5.407,1,0.0317,0.104,0.000128,0.113,0.248,121.885,3,"['NTOKOZO MBAMBO', 'MERCY CHINWO BLESSED']"
Nathaniel Bassey,I Remember,78bQIeMrsdfpiqT6WBlnrO,Hallelujah Again (Revelation 19:3),5HjyQX3GmSbNBL1bG3D6Gf,2021-04-01,536588,31,False,0.568,0.511,9,-6.942,0,0.0326,0.336,3.45e-05,0.359,0.123,119.908,4,[]
Nathaniel Bassey,Glory and Honour - Live,3MFEhJkspyNLDp4wYjG6qq,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,476890,32,False,0.415,0.84,8,-6.647,1,0.0699,0.072,2.66e-06,0.0936,0.749,114.012,4,['ABIGAIL BASSEY']
Nathaniel Bassey,So Good,3llNavHvRvC78drvJQQQeq,Hallelujah Again (Revelation 19:3),5HjyQX3GmSbNBL1bG3D6Gf,2021-04-01,496756,31,False,0.382,0.791,5,-5.666,1,0.0496,0.302,0.0,0.168,0.674,110.002,4,['Ada Ehi']
Nathaniel Bassey,Like a Symphony (feat. Unwana Bassey & Jumoke Oshoboke),0N2foBDL3BXAtF2IfJyGhE,This God Is Too Good,5RCbwQMe3LwArxqneTQMTg,2016-10-03,421381,29,False,0.236,0.591,8,-4.864,1,0.031,0.396,1.89e-06,0.298,0.129,155.884,4,"['Unwana Bassey', 'Jumoke Oshoboke']"
Nathaniel Bassey,Holy,7vzRnIHKq0te1GTgnRIdVw,The King Is Coming,1zi8tByoRTWt088vDbI6OG,2019-11-29,452387,29,False,0.409,0.499,8,-6.423,1,0.0291,0.244,0.0113,0.136,0.12,127.667,4,['Jumoke Oshoboke']
Nathaniel Bassey,So Beautiful - Live,7xGi6p5lR4jxFkz5frLNHF,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,475068,32,False,0.29,0.693,0,-6.266,1,0.0373,0.187,2.29e-05,0.302,0.261,147.843,4,[]
Nathaniel Bassey,The Blood,1XUakNASeQeWppsFZHrLXI,This God Is Too Good,5RCbwQMe3LwArxqneTQMTg,2016-10-03,347638,32,False,0.586,0.526,7,-5.737,1,0.0249,0.14,0.0,0.198,0.289,136.097,4,[]
