artist_name,track_name,track_id,album_name,album_id,release_date,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,release_type,duration,release_day,release_month,release_year
Nathaniel Bassey,Onise Iyanu (feat. Glorious Fountain Choir & Micah Stampley),2pCXo7m8mt9szW3Yx29V3Y,Onise Iyanu (feat. Glorious Fountain Choir & Micah Stampley),4QixthMsdoiq2mc9Pn6h6x,2016-08-03,0 days 00:06:08.013000,23,False,0.283,0.785,G,-4.665,Major,0.0523,0.222,0.0,0.456,0.307,144.321,4,"The Glorious Fountain Choir, Micah Stampley",Unknown,06:08,Wednesday,August,2016
Nathaniel Bassey,Sound the Trumpet - Intro,4lgMe4a6nVoGd73WvPmfoB,Hallelujah Again (Revelation 19:3),5HjyQX3GmSbNBL1bG3D6Gf,2021-04-01,0 days 00:00:44.489000,23,False,0.159,0.44,G,-5.817,Major,0.0441,0.00436,0.933,0.205,0.03,108.783,3,,Album,00:44,Thursday,April,2021
Nathaniel Bassey,Amen Chant,2X8DNWeQXTEx4deS2hRDKG,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,0 days 00:04:45.227000,23,False,0.541,0.583,C#/Db,-6.624,Major,0.0296,0.0959,7.33e-05,0.116,0.0942,128.026,4,,Album,04:45,Sunday,December,2018
Nathaniel Bassey,We Need You Now (feat. Cynthia Maccauley & Pa. Emiko Amotsuka),3RzXjaJZaAUd82YvOrbRHX,Revival Flames,3ouj0BXXkGizxWYTtcPK3y,2017-05-08,0 days 00:03:59.125000,23,False,0.437,0.358,A#/Bb,-7.937,Major,0.0368,0.583,0.0,0.115,0.213,124.495,4,"Cynthia MacCauley, Pa. Emiko Amotsuka",Album,03:59,Monday,May,2017
Nathaniel Bassey,God of Love (feat. Mayra Alvarez & Morayo),5I30QBEHUP0FggaCKhjs3z,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,0 days 00:08:13.227000,23,False,0.337,0.45,C#/Db,-10.454,Major,0.0295,0.0185,0.00327,0.112,0.069,74.903,4,"Mayra Alvarez, Morayo",Album,08:13,Monday,December,2014
Nathaniel Bassey,Waiting,1JaATBMQwBvt4nLgKAQPIZ,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,0 days 00:03:36.469000,22,False,0.521,0.0697,C,-12.549,Major,0.0347,0.981,0.000108,0.0978,0.326,135.908,4,,Album,03:36,Monday,December,2014
Nathaniel Bassey,So Amazing,4GaTfcY6STc9VnkJwqGdDE,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,0 days 00:05:49.513000,23,False,0.402,0.526,G#/Ab,-8.348,Major,0.0344,0.504,0.00038,0.12,0.259,167.834,4,,Album,05:49,Monday,December,2014
Nathaniel Bassey,Never the Same,4Ez8Le8Xsk0ZWcCHAyGYLY,Revival Flames,3ouj0BXXkGizxWYTtcPK3y,2017-05-08,0 days 00:03:02.204000,22,False,0.329,0.307,C,-7.525,Major,0.0283,0.804,0.0,0.122,0.283,101.681,3,,Album,03:02,Monday,May,2017
Nathaniel Bassey,"Come, Lord Come",4ubTNebLBi6P2JrNpLdVFR,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,0 days 00:03:46.167000,22,False,0.396,0.172,F,-11.621,Major,0.029,0.891,0.000613,0.112,0.272,70.058,4,,Album,03:46,Monday,December,2014
Nathaniel Bassey,How Sweet the Name of Jesus Sounds,7EUSmLQEx1nfdylfXU9yTL,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,0 days 00:03:49.187000,21,False,0.644,0.59,F,-5.716,Major,0.0341,0.629,0.00037,0.105,0.625,90.011,4,Kaydee Numbere,Album,03:49,Sunday,December,2018
